,title,salary,jobtype,description,location
1214,"Data Science Lead, Appointments & Conversations",,,"7+ years of data science experience or equivalent.You will assemble a team to leverage a unique set of skills, including, data engineering, analytics, data…","San Francisco, CA"
1215,"Data Scientist (Maplewood, MN)*",,,"Experience with big data and big data platforms.Researching and exploring data sources, working with data and systems experts to understand the data and what…","Maplewood, MN"
1216,"Data Scientist/Modeler - Los Angeles, Teleflora",,Remote,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.","Los Angeles, CA 90064•Remote"
1217,Data Analyst,,,"Drive the collection of new data and the refinement of existing data resources.Identify trends, performance, safety, and productivity opportunities by applying…","Homewood, IL"
1218,"Market Analyst, Data Science",,,"Ability to manipulate data in a fast-paced environment to gather quick insights, visualize the data and generate interactive reports and dashboards for the team…","Kohler, WI 53044"
1219,JPMWM - Quant Analytics - Data & Analytics - Sr. Associate,,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Columbus, OH"
1220,Machine Learning Lead,,Remote,"This role is for a a highly experienced and dynamic technical leader with outstanding client-facing skills, who takes an active technical leadership role on…",Remote•Remote
1221,Part-Time Instructor: Data Analytics and Data Science (Onlin...,,Remote,We are seeking qualified applicants possessing current knowledge and teaching experience in all aspects of Data Analytics and Data Science including: Data…,"Irvine, CA•Remote"
1222,Principal Consumable Failure Analysis Engineer,,,"Experience or strong desire to learn statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.","Santa Clara, CA"
1223,Statistician Intermediate,,,"This position involves a wide range of tasks including data management, programming and statistical analysis using both existing data and newly-collected data.","Ann Arbor, MI 48109"
1224,Data Analytics Fellow,,,You will be involved with researching administrative and auxiliary data sources to enhance the transportation data.U.S. Department of Transportation (DOT).,"Washington, DC"
1225,MS +2 years of experience,,,"SimSan Global Solutions, Inc. has job openings for the position of Computer and Information Research Scientist with a Master’s Degree in Data Science and at…","Irving, TX 75063 (Valley Ranch area)"
1226,Principal Scientist - Computational Protein Scientist,,,"The goal is to apply the most effective computational methods, including structural modeling, machine learning, and data science techniques to advance our…","Thousand Oaks, CA"
1227,Decision Analytics Consultant,,,"Lead project task execution by ensuring progress, organizing project data and coordinating team meetings;Alternately, candidates may possess a PhD in marketing…","Boston, MA+8 locations"
1228,Lead Data Scientist,,,"Mentor complex projects using wide breadth of data sciences and advanced techniques.Lead large scale projects that utilize online & offline data, structured &…","Philadelphia, PA+1 location"
1229,Lead Data Scientist - Clinical Trials,,,"5+ years of data science experience in business setting including collaborating with business partners to understand problems, gather business requirements,…","Woonsocket, RI"
1230,GCP Data Engineer,,,"4+ years' experience as a software engineering using Python, C+ and have data engineering experience in Python.Very good understand of GCP Architecture.","Arlington Heights, IL+1 location"
1231,Senior Deep Learning Engineer,,,"Experience building large scale data processing pipelines.Investigate innovative machine learning, artificial intelligence and statistic techniques for health…","Gaithersburg, MD 20878"
1232,USDi Network Engineer/Architect,,,Coordinate with the DoD and National Agencies introducing new technologies and data dissemination and archival concepts relevant to the AISR mission.,"Pentagon, DC"
1233,Sr Data Scientist - Severe Weather,,,3 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)"
1234,Department of Applied Data Science Lecturer Pool,,,This program provides students with the advanced education necessary to draw insights from real data and apply analytical skills to solve practical problems.,"San Jose, CA"
1235,Machine Learning Lead,,Remote,"This role is for a a highly experienced and dynamic technical leader with outstanding client-facing skills, who takes an active technical leadership role on…",Remote•Remote
1236,Part-Time Instructor: Data Analytics and Data Science (Onlin...,,Remote,We are seeking qualified applicants possessing current knowledge and teaching experience in all aspects of Data Analytics and Data Science including: Data…,"Irvine, CA•Remote"
1237,Principal Consumable Failure Analysis Engineer,,,"Experience or strong desire to learn statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.","Santa Clara, CA"
1238,Statistician Intermediate,,,"This position involves a wide range of tasks including data management, programming and statistical analysis using both existing data and newly-collected data.","Ann Arbor, MI 48109"
1239,Data Analytics Fellow,,,You will be involved with researching administrative and auxiliary data sources to enhance the transportation data.U.S. Department of Transportation (DOT).,"Washington, DC"
1240,MS +2 years of experience,,,"SimSan Global Solutions, Inc. has job openings for the position of Computer and Information Research Scientist with a Master’s Degree in Data Science and at…","Irving, TX 75063 (Valley Ranch area)"
1241,Principal Scientist - Computational Protein Scientist,,,"The goal is to apply the most effective computational methods, including structural modeling, machine learning, and data science techniques to advance our…","Thousand Oaks, CA"
1242,Decision Analytics Consultant,,,"Lead project task execution by ensuring progress, organizing project data and coordinating team meetings;Alternately, candidates may possess a PhD in marketing…","Boston, MA+8 locations"
1243,Lead Data Scientist,,,"Mentor complex projects using wide breadth of data sciences and advanced techniques.Lead large scale projects that utilize online & offline data, structured &…","Philadelphia, PA+1 location"
1244,Lead Data Scientist - Clinical Trials,,,"5+ years of data science experience in business setting including collaborating with business partners to understand problems, gather business requirements,…","Woonsocket, RI"
1245,GCP Data Engineer,,,"4+ years' experience as a software engineering using Python, C+ and have data engineering experience in Python.Very good understand of GCP Architecture.","Arlington Heights, IL+1 location"
1246,Senior Deep Learning Engineer,,,"Experience building large scale data processing pipelines.Investigate innovative machine learning, artificial intelligence and statistic techniques for health…","Gaithersburg, MD 20878"
1247,USDi Network Engineer/Architect,,,Coordinate with the DoD and National Agencies introducing new technologies and data dissemination and archival concepts relevant to the AISR mission.,"Pentagon, DC"
1248,Sr Data Scientist - Severe Weather,,,3 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)"
1249,Department of Applied Data Science Lecturer Pool,,,This program provides students with the advanced education necessary to draw insights from real data and apply analytical skills to solve practical problems.,"San Jose, CA"
1250,Life Sciences - Data Engineering Consultant,,,"Minimum of 2 years’ experience designing and implementing large-scale data pipelines for data curation, feature engineering, and machine learning, using Spark…","New York, NY+2 locations"
1251,"AI/ML - Software Engineer, Siri Understanding",,,"You must have a “make it happen” attitude and willingness to also work hands-on in building tools, testing, data collection, running experiments as well as work…","Seattle, WA+1 location"
1252,ASST/ASSO/FULL PROFESSOR,,,This position serves to help the management department expand AI/data science related research agenda and take a leading role in this topic area in its rooted…,"Gainesville, FL 32611"
1253,Decision Analytics Consultant,,,"Lead project task execution by ensuring progress, organizing project data and coordinating team meetings;Alternately, candidates may possess a PhD in marketing…","Boston, MA+8 locations"
1254,Senior Data Analyst,"$84,468 - $104,909 a year",,"Expertise in data analytics, data mining and visualization software such as Python for machine learning techniques.","Queens, NY 11101"
1255,Software & Services Insight Data Scientist,,,Ability to synthesize data from multiple sources for a deep understanding of opportunities.Familiarity with database modeling and data warehousing principles…,"Austin, TX"
1256,Chief Data Scientist,"$125,001 - $150,000 a year",,"Ensures effective and efficient integration across software, and systems data.The candidate for this position leads a team and provides technical analysis and…","Colorado Springs, CO 80903 (East Colorado Springs area)"
1257,Statistician III (Data Analyst),"$40,759 - $58,086 a year",,Analyzes and interprets data to provide analytical interpretation to institutional constituencies.Develop and implement quantitative and qualitative data…,"Greenville County, SC"
1258,Sr. Technical Writer DevOps Deep Learning,,,"Subject-matter expertise in a technical domain and experience with technical writing.Proven record of managing multifaceted, global content projects with tight…","Seattle, WA"
1259,Principal Consumable Failure Analysis Engineer,,,"Experience or strong desire to learn statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.","Santa Clara, CA"
1260,Machine Learning Lead,,Remote,"This role is for a a highly experienced and dynamic technical leader with outstanding client-facing skills, who takes an active technical leadership role on…",Remote•Remote
1261,Lead Data Scientist,,Temporarily Remote,"Experience with big data tools, especially Spark (PySpark).Experience in developing, maintaining, and collecting structured and unstructured data sets for…","Irving, TX•Temporarily Remote"
1262,Sr Data Analyst,,,Epic is huge plus – they will be incorporating Epic data and legacy data.This candidate will support the Cost Accounting group.,California
1263,"Advanced Data Insight Analyst II--(Product Analyst, Search a...",,,"2+ years’ data analytics experience in a business context.You have that curious streak - want to investigate that data point, find that insight, understand how…","Seattle, WA 98119+1 location (Queen Anne area)"
1264,Postdoctoral Researcher,"$57,000 - $59,000 a year",,Demonstrated experience performing data analysis with earth science data.Demonstrated experience applying data science techniques (e.g. machine learning) to…,"Fort Collins, CO"
1265,Registered Nurse Behavioral Health Adult Inpatient Unit PM s...,,,"To that end, Graduate Nurses and Registered Nurses with less than two (2) years of RN work experience will need to possess a BSN, or as a contingency of…","Wauwatosa, WI 53213"
1266,Respiratory Therapist I- ED Nights- 36 hrs/week,,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)"
1267,Sr Software Engineer I-Artificial Intelligence/Machine Langu...,,,"Experience with non-traditional data storage technologies (e.g., Cassandra, ElasticSearch, Solr, MongoDB, Graph stores, MinIO for block storage).","Richardson, TX"
1268,"Registered Nurse, OR, 1.0FTE, Days, Call Required, Acute",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1269,Registered Nurse (RN) - Med/Tele and Respiratory at St. Luke...,,,"For example: conducts chart audits, collects data, implements performance improvement interventions, and/or offers suggestions for performance improvement.","Milwaukee, WI 53215 (Forest Home Hills area)"
1270,"REGISTERED NURSE, OB/ Fetal Care Clinic (Experience RN Non-A...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1271,"Experienced REGISTERED NURSE, CICU .6fte AM/PM Rotation Acut...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1272,"Registered Nurse, College Hill/Residential, Stand By, Acute",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)"
1273,"Respiratory Therapist I/II- NICU, PICU, CICU or Float - 32-3...",,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)"
1274,Respiratory Therapist I/II- Critical Care Building- Full-Tim...,,,"Assesses patients, clients and families and recognizes normal parameters, deviations and abnormalities in physical, emotional, developmental and behavioral…","Cincinnati, OH 45229 (Corryville area)"
1275,"Registered Nurse, College Hill Residential, 0.03FTE/Stand By...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)"
1276,"Registered Nurse, Anesthesia Imaging, 0.9FTE, Days, Call Req...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1277,"Senior Software Engineer, Machine Learning Platform Operatio...",,,"Deploy and maintain data science and data engineering development environments.Preferred language familiarity: Python, Go, Ruby, Rust, Scala Database skills –…","Austin, TX 78758 (North Austin area)"
1278,"REGISTERED NURSE, Acute A7NS Neuro science 0.8 FTE Experienc...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1279,"Specialist, Marketing Information Management",,,Builds data visualization to support business needs.Assists with multiple projects to develop business and data analysis to drive business objectives.,"Columbus, OH 43215 (Downtown area)"
1280,Business Data Analyst,,,Experience with preparing large data sets for analysis.0-2 years of experience during coursework or as a data scientist in formal setting.,"Mountain View, CA 94041"
1281,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1282,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1283,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1284,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
1285,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1286,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1287,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1288,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1289,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1290,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1291,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1292,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1293,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1294,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1295,Life Sciences - Data Engineering Consultant,,,"Minimum of 2 years’ experience designing and implementing large-scale data pipelines for data curation, feature engineering, and machine learning, using Spark…","New York, NY+2 locations"
1296,"AI/ML - Software Engineer, Siri Understanding",,,"You must have a “make it happen” attitude and willingness to also work hands-on in building tools, testing, data collection, running experiments as well as work…","Seattle, WA+1 location"
1297,ASST/ASSO/FULL PROFESSOR,,,This position serves to help the management department expand AI/data science related research agenda and take a leading role in this topic area in its rooted…,"Gainesville, FL 32611"
1298,Decision Analytics Consultant,,,"Lead project task execution by ensuring progress, organizing project data and coordinating team meetings;Alternately, candidates may possess a PhD in marketing…","Boston, MA+8 locations"
1299,Senior Data Analyst,"$84,468 - $104,909 a year",,"Expertise in data analytics, data mining and visualization software such as Python for machine learning techniques.","Queens, NY 11101"
1300,Software & Services Insight Data Scientist,,,Ability to synthesize data from multiple sources for a deep understanding of opportunities.Familiarity with database modeling and data warehousing principles…,"Austin, TX"
1301,Chief Data Scientist,"$125,001 - $150,000 a year",,"Ensures effective and efficient integration across software, and systems data.The candidate for this position leads a team and provides technical analysis and…","Colorado Springs, CO 80903 (East Colorado Springs area)"
1302,Statistician III (Data Analyst),"$40,759 - $58,086 a year",,Analyzes and interprets data to provide analytical interpretation to institutional constituencies.Develop and implement quantitative and qualitative data…,"Greenville County, SC"
1303,Sr. Technical Writer DevOps Deep Learning,,,"Subject-matter expertise in a technical domain and experience with technical writing.Proven record of managing multifaceted, global content projects with tight…","Seattle, WA"
1304,Principal Consumable Failure Analysis Engineer,,,"Experience or strong desire to learn statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.","Santa Clara, CA"
1305,Machine Learning Lead,,Remote,"This role is for a a highly experienced and dynamic technical leader with outstanding client-facing skills, who takes an active technical leadership role on…",Remote•Remote
1306,Lead Data Scientist,,Temporarily Remote,"Experience with big data tools, especially Spark (PySpark).Experience in developing, maintaining, and collecting structured and unstructured data sets for…","Irving, TX•Temporarily Remote"
1307,Sr Data Analyst,,,Epic is huge plus – they will be incorporating Epic data and legacy data.This candidate will support the Cost Accounting group.,California
1308,"Advanced Data Insight Analyst II--(Product Analyst, Search a...",,,"2+ years’ data analytics experience in a business context.You have that curious streak - want to investigate that data point, find that insight, understand how…","Seattle, WA 98119+1 location (Queen Anne area)"
1309,Postdoctoral Researcher,"$57,000 - $59,000 a year",,Demonstrated experience performing data analysis with earth science data.Demonstrated experience applying data science techniques (e.g. machine learning) to…,"Fort Collins, CO"
1310,Life Sciences - Data Engineering Consultant,,,"Minimum of 2 years’ experience designing and implementing large-scale data pipelines for data curation, feature engineering, and machine learning, using Spark…","New York, NY+2 locations"
1311,"AI/ML - Software Engineer, Siri Understanding",,,"You must have a “make it happen” attitude and willingness to also work hands-on in building tools, testing, data collection, running experiments as well as work…","Seattle, WA+1 location"
1312,ASST/ASSO/FULL PROFESSOR,,,This position serves to help the management department expand AI/data science related research agenda and take a leading role in this topic area in its rooted…,"Gainesville, FL 32611"
1313,Decision Analytics Consultant,,,"Lead project task execution by ensuring progress, organizing project data and coordinating team meetings;Alternately, candidates may possess a PhD in marketing…","Boston, MA+8 locations"
1314,Senior Data Analyst,"$84,468 - $104,909 a year",,"Expertise in data analytics, data mining and visualization software such as Python for machine learning techniques.","Queens, NY 11101"
1315,Software & Services Insight Data Scientist,,,Ability to synthesize data from multiple sources for a deep understanding of opportunities.Familiarity with database modeling and data warehousing principles…,"Austin, TX"
1316,Chief Data Scientist,"$125,001 - $150,000 a year",,"Ensures effective and efficient integration across software, and systems data.The candidate for this position leads a team and provides technical analysis and…","Colorado Springs, CO 80903 (East Colorado Springs area)"
1317,Statistician III (Data Analyst),"$40,759 - $58,086 a year",,Analyzes and interprets data to provide analytical interpretation to institutional constituencies.Develop and implement quantitative and qualitative data…,"Greenville County, SC"
1318,Sr. Technical Writer DevOps Deep Learning,,,"Subject-matter expertise in a technical domain and experience with technical writing.Proven record of managing multifaceted, global content projects with tight…","Seattle, WA"
1319,Principal Consumable Failure Analysis Engineer,,,"Experience or strong desire to learn statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.","Santa Clara, CA"
1320,Machine Learning Lead,,Remote,"This role is for a a highly experienced and dynamic technical leader with outstanding client-facing skills, who takes an active technical leadership role on…",Remote•Remote
1321,Lead Data Scientist,,Temporarily Remote,"Experience with big data tools, especially Spark (PySpark).Experience in developing, maintaining, and collecting structured and unstructured data sets for…","Irving, TX•Temporarily Remote"
1322,Sr Data Analyst,,,Epic is huge plus – they will be incorporating Epic data and legacy data.This candidate will support the Cost Accounting group.,California
1323,"Advanced Data Insight Analyst II--(Product Analyst, Search a...",,,"2+ years’ data analytics experience in a business context.You have that curious streak - want to investigate that data point, find that insight, understand how…","Seattle, WA 98119+1 location (Queen Anne area)"
1324,Postdoctoral Researcher,"$57,000 - $59,000 a year",,Demonstrated experience performing data analysis with earth science data.Demonstrated experience applying data science techniques (e.g. machine learning) to…,"Fort Collins, CO"
1325,Registered Nurse Behavioral Health Adult Inpatient Unit PM s...,,,"To that end, Graduate Nurses and Registered Nurses with less than two (2) years of RN work experience will need to possess a BSN, or as a contingency of…","Wauwatosa, WI 53213"
1326,"Registered Nurse, Acute ~ Emergency Department, Burnet, .6 F...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1327,FDA Postdoctoral Fellowship in Multidomain Medical Artificia...,,,"For the analysis of serial CT images and genomics data, design a ML pipeline that includes.Feature extraction from imaging, genomics and clinical data (both…","Silver Spring, MD"
1328,REGISTERED NURSE for Every Child Succeeds Program (Nurse-Fam...,,,"Collects clinical data; follow algorithms, decision trees, and protocols.PURPOSE OF POSITION: To function as a professional nurse and to apply theoretical…","Cincinnati, OH 45229 (Corryville area)"
1329,"Experienced Registered Nurse, Hematology/Oncology, 0.9FTE, P...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1330,"Engineer 2, Software Release Engineer",,,The CPE Software Release Management Engineer function is essential to the successful development and deployment of new features and fixes as the function…,"Philadelphia, PA"
1331,"Experienced Registered Nurse, Endocrine/Pulmonary/A7C, 0.9FT...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1332,"Mathematical & Digital Sciences Temp Pool: Math Thinking, Co...",,,The Department of Mathematical & Digital Sciences at Bloomsburg University of Pennsylvania seeks individuals to serve as either full-time or part-time temporary…,"Bloomsburg, PA 17815"
1333,RN-Urology,,,"The RN provides patient care under the supervision of a physician.Obtains vital signs, gathers pertinent health information while following decision trees and…","Lovington, NM 88260"
1334,"Registered Nurse, Transitional Care Center/TCC/A3S, 0.6FTE,...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1335,"Registered Nurse, College Hill/PA2E, 0.5FTE, D/E Rotation, A...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45224 (College Hill area)"
1336,"Experienced Registered Nurse, Peritoneal Dialysis, 0.8 FTE,...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1337,Instructor or Clinical Assistant Professor,,,"Candidates may be tasked with teaching and/or developing courses related to some of the following topics: applying modern data science tools, business analytics…","Denver, CO 80217 (Central Business District area)"
1338,"Experienced REGISTERED NURSE, Emergency Services Nursing .7f...",,,"Collects clinical data; follow algorithms, decision trees, and protocols.SUBFUNCTION DEFINITION: Nurses who have graduated from a college level nursing program…","Cincinnati, OH 45229 (Corryville area)"
1339,"Specialist, Marketing Information Management",,,Builds data visualization to support business needs.Assists with multiple projects to develop business and data analysis to drive business objectives.,"Columbus, OH 43215 (Downtown area)"
1340,"Data Engineer, Analytics (Domain Specialist)",,,"Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.","Sunnyvale, CA 94089+2 locations (Lakewood area)"
1341,"Manager, Data Science",,,Opportunity to advance on the data science and/or leadership track.4+ years work experience with data exploration and machine learning tools such as those…,"Draper, UT"
1342,"Sr. Analyst, Portfolio Data Operations",,,"Knowledge of market research, data science methodology and trends based work.Ability, from a business and data perspective, to understand how first party data…","Los Angeles, CA 90061"
1343,Clinical Data Scientist - Mount Sinai Clinical Intelligence...,,,Translational or clinical research experience with a specific interest in applications of clinical data.Bachelor’s Degree; Master’s degree or doctoral degree…,"New York, NY 10029 (East Harlem area)"
1344,"Data Scientist, Product Incubation & DesignOps",,,Present information using data visualisation techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modelling.,"New York, NY 10036+7 locations (Garment District area)"
1345,Data Analyst Consultant,,,3-5 years of data analysis.Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision…,"Jacksonville, FL 32202 (Downtown Jacksonville area)"
1346,Associate Data Scientist,,,Writes query to filter data or join multiple data sets.Identifies sources of credible data and maintains data catalogs to provide key data sources to internal…,"Wayne, NJ 07470"
1347,"Senior Program & Engagement Officer, Data Science & Next-gen...","$80,000 - $100,000 a year",Remote,"Deep knowledge of data science, collections metadata, and related workflows.At least 7 years experience in metadata, data science, or related field.",United States•Remote
1348,Data Scientist,"$100,000 - $150,000 a year",,"Data manipulation and data engineering experience involving structured and unstructured data.Data manipulation expertise involving data extractions, data…","Woodlawn, MD 21207"
1349,117240 - Data Scientist,"$92,000 a year",,"Responsible for working with business users to fully understand their needs for data science solutions; work with a variety of data sources, both internal and…","Troy, MI 48083"
1350,Applied Data Scientist II,,,You will be responsible for designing and implementing state-of-the-art ML algorithms and systems to personalize the entire experience for our users.,"Bellevue, WA 98004 (Downtown area)"
1351,Data Scientist,"$50,000 - $75,000 a year",,"Perform research on various data science technologies and platforms.Perform research projects on various data pipelines, data sets, and data products.","New Orleans, LA"
1352,"Analyst, Data & Research","$58,240 - $76,638 a year",,"Practiced experience in collecting primary data, utilizing secondary data, as well as organizing and managing administrative data.","Los Angeles, CA 90017 (Downtown area)"
1353,Predictive Maintenance Data Scientist,,,Perform exploratory and targeted data analysis using commercial and open source data analytic software packages.,"Corning, NY 14831"
1354,Data Scientist,,,"The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical…","Chicago, IL"
1355,Data Scientist III - 64038,,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","Philadelphia, PA 19146 (Graduate Hospital area)"
1356,Data Scientist-HomeKit,,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014"
1357,Co-op - Data Science (Fall 2021 Semester),,,"Develop and implement data processing, including data curation and normalization.Based in our Elyria, OH location, you will directly support two major projects…","Elyria, OH"
1358,Data Analyst - Machine Learning Modeling,,Remote,"3+ years’ hands-on experience in digital data analytics related roles, experience in analyzing large data set.Health benefits and 401K offered.",Remote•Remote
1359,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
1360,"Vice President, Data Science/Advanced Analytics","$139,000 - $191,000 a year",Remote,"Lead RDNA's data strategy including data storage, data modeling, data engineering for use in analytics, data process automation, and business continuity.",Maryland•Remote
1361,Data Engineer,,,The marketing and data science team requires an experienced and all-purpose data engineer to architect and manage a data warehouse (e.g. a datalake) along with…,"Philadelphia, NY"
1362,Data Science Trainee Summer 2021,,,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"Rockville, MD 20852"
1363,PostgreSQL CloudSQL Data Engineers,,,,"San Diego, CA"
1364,Data Engineer / Data Scientist,,Remote,"Candidate responsibilities will be ranging from data engineering and machine learning, to data visualization and dashboard builds in Shiny App.",Remote•Remote
1365,Data Engineer,,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,New York State•Remote
1366,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1367,Data Scientist,,,"2-3 years work experience developing data science projects.Execute on end-to-end data science projects (ideation, data engineering, modeling, interpretation,…","New York, NY 10019 (Midtown area)"
1368,Postdoctoral Research Associate,,,Individuals with skills and knowledge relevant to some of the following topics are encouraged to apply: energy resource planning & optimization; modeling of…,"Princeton, NJ 08544"
1369,"Manager, Data Science & Analytics","$110,700 - $135,300 a year",Remote,"Expert knowledge in data analysis and preparation, including experience with very large data sets (requiring big-data techniques) and sparse or poor-quality…",Remote•Remote
1370,Business Data Analyst,,,Experience with preparing large data sets for analysis.0-2 years of experience during coursework or as a data scientist in formal setting.,"Mountain View, CA 94041"
1371,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1372,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1373,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1374,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
